Tensao [V];Corrente [A]
-10;-4,39431E-10
-9,95;-4,134657E-10
-9,9;-3,98528E-10
-9,85;-3,90788E-10
-9,8;-3,799371E-10
-9,75;-3,756768E-10
-9,7;-3,65964E-10
-9,65;-3,614291E-10
-9,6;-3,565584E-10
-9,55;-3,489421E-10
-9,5;-3,462549E-10
-9,45;-3,436727E-10
-9,4;-3,404789E-10
-9,35;-3,375923E-10
-9,3;-3,335972E-10
-9,25;-3,285952E-10
-9,2;-3,252578E-10
-9,15;-3,222334E-10
-9,1;-3,194061E-10
-9,05;-3,147533E-10
-9;-3,100859E-10
-8,95;-3,103708E-10
-8,9;-3,066036E-10
-8,85;-3,008263E-10
-8,8;-2,944932E-10
-8,75;-2,969961E-10
-8,7;-2,946107E-10
-8,65;-2,901712E-10
-8,6;-2,867235E-10
-8,55;-2,832895E-10
-8,5;-2,808237E-10
-8,45;-2,761735E-10
-8,4;-2,73366E-10
-8,35;-2,746491E-10
-8,3;-2,724519E-10
-8,25;-2,673461E-10
-8,2;-2,62016E-10
-8,15;-2,614712E-10
-8,1;-2,616295E-10
-8,05;-2,574609E-10
-8;-2,539144E-10
-7,95;-2,519847E-10
-7,9;-2,513754E-10
-7,85;-2,450225E-10
-7,8;-2,423947E-10
-7,75;-2,412887E-10
-7,7;-2,398745E-10
-7,65;-2,364898E-10
-7,6;-2,322422E-10
-7,55;-2,310062E-10
-7,5;-2,312241E-10
-7,45;-2,248069E-10
-7,4;-2,223227E-10
-7,35;-2,225678E-10
-7,3;-2,221504E-10
-7,25;-2,157378E-10
-7,2;-2,143832E-10
-7,15;-2,127063E-10
-7,1;-2,115E-10
-7,05;-2,077812E-10
-7;-2,029277E-10
-6,95;-2,019719E-10
-6,9;-2,006962E-10
-6,85;-1,981997E-10
-6,8;-1,937142E-10
-6,75;-1,923159E-10
-6,7;-1,911295E-10
-6,65;-1,872843E-10
-6,6;-1,84716E-10
-6,55;-1,815245E-10
-6,5;-1,809587E-10
-6,45;-1,803578E-10
-6,4;-1,744904E-10
-6,35;-1,725052E-10
-6,3;-1,712395E-10
-6,25;-1,70255E-10
-6,2;-1,648754E-10
-6,15;-1,627205E-10
-6,1;-1,628593E-10
-6,05;-1,611019E-10
-6;-1,571874E-10
-5,95;-1,530411E-10
-5,9;-1,543068E-10
-5,85;-1,524889E-10
-5,8;-1,489445E-10
-5,75;-1,438708E-10
-5,7;-1,435179E-10
-5,65;-1,42833E-10
-5,6;-1,375747E-10
-5,55;-1,343846E-10
-5,5;-1,330584E-10
-5,45;-1,329245E-10
-5,4;-1,311871E-10
-5,35;-1,248007E-10
-5,3;-1,246693E-10
-5,25;-1,230223E-10
-5,2;-1,204526E-10
-5,15;-1,160958E-10
-5,1;-1,13416E-10
-5,05;-1,142803E-10
-5;-1,114902E-10
-4,95;-1,068511E-10
-4,9;-1,052857E-10
-4,85;-1,040362E-10
-4,8;-1,029514E-10
-4,75;-9,60014E-11
-4,7;-9,525592E-11
-4,65;-9,573152E-11
-4,6;-9,35147E-11
-4,55;-8,660572E-11
-4,5;-8,512333E-11
-4,45;-8,473566E-11
-4,4;-8,205947E-11
-4,35;-7,681727E-11
-4,3;-7,290275E-11
-4,25;-7,188346E-11
-4,2;-7,102898E-11
-4,15;-6,637384E-11
-4,1;-6,213106E-11
-4,05;-6,0531E-11
-4;-5,952545E-11
-3,95;-5,690495E-11
-3,9;-5,074145E-11
-3,85;-4,892344E-11
-3,8;-4,893333E-11
-3,75;-4,471285E-11
-3,7;-4,000443E-11
-3,65;-3,794869E-11
-3,6;-3,712761E-11
-3,55;-3,222106E-11
-3,5;-2,857148E-11
-3,45;-2,609838E-11
-3,4;-2,508162E-11
-3,35;-2,262959E-11
-3,3;-1,70605E-11
-3,25;-1,418367E-11
-3,2;-1,016009E-11
-3,15;-7,721671E-12
-3,1;-2,739564E-12
-3,05;-6,280817E-13
-3;1,895808E-12
-2,95;5,947916E-12
-2,9;8,617944E-12
-2,85;1,296974E-11
-2,8;1,479146E-11
-2,75;1,804849E-11
-2,7;2,356811E-11
-2,65;2,589634E-11
-2,6;3,017755E-11
-2,55;3,281043E-11
-2,5;3,842047E-11
-2,45;4,229176E-11
-2,4;4,435745E-11
-2,35;4,946839E-11
-2,3;5,419915E-11
-2,25;5,823885E-11
-2,2;6,466994E-11
-2,15;6,746013E-11
-2,1;7,285465E-11
-2,05;7,827274E-11
-2;8,10716E-11
-1,95;8,38753E-11
-1,9;8,963152E-11
-1,85;9,453436E-11
-1,8;9,958598E-11
-1,75;1,01643E-10
-1,7;1,072753E-10
-1,65;1,130798E-10
-1,6;1,178773E-10
-1,55;1,242094E-10
-1,5;1,29267E-10
-1,45;1,386865E-10
-1,4;1,45301E-10
-1,35;1,520069E-10
-1,3;1,618522E-10
-1,25;1,710501E-10
-1,2;1,817785E-10
-1,15;1,961826E-10
-1,1;2,151241E-10
-1,05;2,447325E-10
-1;2,81954E-10
-0,95;3,356693E-10
-0,9;4,100857E-10
-0,85;5,083506E-10
-0,8;6,398858E-10
-0,75;8,089263E-10
-0,7;1,036097E-09
-0,65;1,304946E-09
-0,6;1,637653E-09
-0,55;2,045617E-09
-0,5;2,690208E-09
-0,45;3,168196E-09
-0,4;3,918818E-09
-0,35;4,731627E-09
-0,3;5,704242E-09
-0,25;6,711754E-09
-0,2;7,813242E-09
-0,15;8,957517E-09
-0,1;1,026562E-08
-0,05;1,142463E-08
0;1,274007E-08
0,05;1,371207E-08
0,1;1,500052E-08
0,15;1,610948E-08
0,2;1,718772E-08
0,25;1,838647E-08
0,3;1,981416E-08
0,35;2,084384E-08
0,4;2,228622E-08
0,45;2,337133E-08
0,5;2,441451E-08
0,55;2,556452E-08
0,6;2,655376E-08
0,65;2,761266E-08
0,7;2,865209E-08
0,75;2,965188E-08
0,8;3,07123E-08
0,85;3,155724E-08
0,9;3,264433E-08
0,95;3,349366E-08
1;3,443406E-08
1,05;3,593394E-08
1,1;3,669055E-08
1,15;3,696693E-08
1,2;3,77067E-08
1,25;3,83429E-08
1,3;3,935064E-08
1,35;3,978138E-08
1,4;4,049355E-08
1,45;4,162219E-08
1,5;4,231655E-08
1,55;4,244031E-08
1,6;4,282238E-08
1,65;4,337925E-08
1,7;4,391301E-08
1,75;4,445108E-08
1,8;4,487056E-08
1,85;4,541488E-08
1,9;4,588706E-08
1,95;4,619149E-08
2;4,69885E-08
2,05;4,717908E-08
2,1;4,765428E-08
2,15;4,820244E-08
2,2;4,850573E-08
2,25;4,889599E-08
2,3;4,938286E-08
2,35;4,971841E-08
2,4;5,002702E-08
2,45;5,057752E-08
2,5;5,162337E-08
2,55;5,187358E-08
2,6;5,159166E-08
2,65;5,184327E-08
2,7;5,222962E-08
2,75;5,258091E-08
2,8;5,295326E-08
2,85;5,32034E-08
2,9;5,354621E-08
2,95;5,399546E-08
3;5,406077E-08
3,05;5,434307E-08
3,1;5,474379E-08
3,15;5,508972E-08
3,2;5,53723E-08
3,25;5,686062E-08
3,3;5,669362E-08
3,35;5,621536E-08
3,4;5,639611E-08
3,45;5,637851E-08
3,5;5,74617E-08
3,55;5,726025E-08
3,6;5,721162E-08
3,65;5,874055E-08
3,7;5,895955E-08
3,75;5,843458E-08
3,8;5,859535E-08
3,85;5,898258E-08
3,9;5,92478E-08
3,95;5,928517E-08
4;5,969656E-08
4,05;5,97007E-08
4,1;6,025414E-08
4,15;6,056838E-08
4,2;6,061222E-08
4,25;6,105855E-08
4,3;6,118737E-08
4,35;6,147346E-08
4,4;6,158688E-08
4,45;6,189478E-08
4,5;6,363696E-08
4,55;6,335756E-08
4,6;6,272343E-08
4,65;6,28006E-08
4,7;6,308163E-08
4,75;6,334108E-08
4,8;6,371776E-08
4,85;6,378916E-08
4,9;6,493419E-08
4,95;6,55003E-08
5;6,464948E-08
5,05;6,468884E-08
5,1;6,48315E-08
5,15;6,507229E-08
5,2;6,543092E-08
5,25;6,551903E-08
5,3;6,577073E-08
5,35;6,600247E-08
5,4;6,609545E-08
5,45;6,641654E-08
5,5;6,666196E-08
5,55;6,670152E-08
5,6;6,702003E-08
5,65;6,743632E-08
5,7;6,719581E-08
5,75;6,831612E-08
5,8;6,805919E-08
5,85;6,800789E-08
5,9;6,800698E-08
5,95;6,89153E-08
6;6,868505E-08
6,05;6,866598E-08
6,1;6,91462E-08
6,15;6,928983E-08
6,2;6,917917E-08
6,25;6,97502E-08
6,3;6,974943E-08
6,35;6,996405E-08
6,4;7,015026E-08
6,45;7,048993E-08
6,5;7,049879E-08
6,55;7,061853E-08
6,6;7,079903E-08
6,65;7,242159E-08
6,7;7,220745E-08
6,75;7,152209E-08
6,8;7,137496E-08
6,85;7,15047E-08
6,9;7,200341E-08
6,95;7,214705E-08
7;7,211612E-08
7,05;7,229696E-08
7,1;7,256613E-08
7,15;7,273825E-08
7,2;7,279902E-08
7,25;7,286251E-08
7,3;7,327079E-08
7,35;7,484459E-08
7,4;7,472826E-08
7,45;7,390512E-08
7,5;7,393517E-08
7,55;7,414852E-08
7,6;7,432956E-08
7,65;7,492883E-08
7,7;7,459175E-08
7,75;7,573645E-08
7,8;7,481107E-08
7,85;7,432696E-08
7,9;7,49733E-08
7,95;7,517024E-08
8;7,540702E-08
8,05;7,539632E-08
8,1;7,547294E-08
8,15;7,566059E-08
8,2;7,558365E-08
8,25;7,589411E-08
8,3;7,59975E-08
8,35;7,605285E-08
8,4;7,605438E-08
8,45;7,64376E-08
8,5;7,653787E-08
8,55;7,633869E-08
8,6;7,671888E-08
8,65;7,685806E-08
8,7;7,705107E-08
8,75;7,846031E-08
8,8;7,84523E-08
8,85;7,745949E-08
8,9;7,746205E-08
8,95;7,749688E-08
9;7,778515E-08
9,05;7,773571E-08
9,1;7,79697E-08
9,15;7,814442E-08
9,2;7,818773E-08
9,25;7,821349E-08
9,3;7,864196E-08
9,35;7,857584E-08
9,4;7,855271E-08
9,45;7,982823E-08
9,5;7,907656E-08
9,55;7,893146E-08
9,6;7,900939E-08
9,65;7,969187E-08
9,7;7,922602E-08
9,75;7,949234E-08
9,8;8,022554E-08
9,85;8,074144E-08
9,9;8,014041E-08
9,95;7,996474E-08
10;8,036934E-08
