Tensao [V];Corrente [A]
-10;-4,915814E-10
-9,9;-4,39209E-10
-9,8;-4,137376E-10
-9,7;-3,933907E-10
-9,6;-3,749397E-10
-9,5;-3,676641E-10
-9,4;-3,568097E-10
-9,3;-3,522782E-10
-9,2;-3,583551E-10
-9,1;-3,499403E-10
-9;-3,474297E-10
-8,9;-3,438757E-10
-8,8;-3,355782E-10
-8,7;-3,370469E-10
-8,6;-3,135732E-10
-8,5;-3,188438E-10
-8,4;-3,178322E-10
-8,3;-2,991099E-10
-8,2;-3,065987E-10
-8,1;-3,008252E-10
-8;-2,934665E-10
-7,9;-2,941986E-10
-7,8;-2,795369E-10
-7,7;-2,795741E-10
-7,6;-2,704088E-10
-7,5;-2,616608E-10
-7,4;-2,650835E-10
-7,3;-2,521112E-10
-7,2;-2,467329E-10
-7,1;-2,449831E-10
-7;-2,356803E-10
-6,9;-2,451862E-10
-6,8;-2,335911E-10
-6,7;-2,316086E-10
-6,6;-2,264864E-10
-6,5;-2,157866E-10
-6,4;-2,109098E-10
-6,3;-2,09358E-10
-6,2;-2,032924E-10
-6,1;-2,050806E-10
-6;-1,947834E-10
-5,9;-1,924404E-10
-5,8;-1,85197E-10
-5,7;-1,799337E-10
-5,6;-1,784514E-10
-5,5;-1,711534E-10
-5,4;-1,694778E-10
-5,3;-1,670641E-10
-5,2;-1,560796E-10
-5,1;-1,593986E-10
-5;-1,465377E-10
-4,9;-1,455531E-10
-4,8;-1,35132E-10
-4,7;-1,327604E-10
-4,6;-1,396138E-10
-4,5;-1,324249E-10
-4,4;-1,2961E-10
-4,3;-1,246998E-10
-4,2;-1,153573E-10
-4,1;-1,15844E-10
-4;-1,032284E-10
-3,9;-1,065968E-10
-3,8;-9,953043E-11
-3,7;-9,128527E-11
-3,6;-9,273661E-11
-3,5;-8,241331E-11
-3,4;-7,65371E-11
-3,3;-6,637475E-11
-3,2;-6,12131E-11
-3,1;-5,838832E-11
-3;-5,520318E-11
-2,9;-4,68712E-11
-2,8;-4,693064E-11
-2,7;-3,091319E-11
-2,6;-2,391124E-11
-2,5;-2,261712E-11
-2,4;-1,484245E-11
-2,3;-1,322508E-11
-2,2;3,155266E-12
-2,1;1,253748E-11
-2;1,483845E-11
-1,9;3,12821E-11
-1,8;3,989648E-11
-1,7;6,439475E-11
-1,6;8,257724E-11
-1,5;1,007868E-10
-1,4;1,30131E-10
-1,3;1,694518E-10
-1,2;2,258591E-10
-1,1;3,286822E-10
-1;5,326699E-10
-0,9;9,852625E-10
-0,8;1,789806E-09
-0,7;3,809403E-09
-0,6;5,683747E-09
-0,5;9,482933E-09
-0,4;1,542234E-08
-0,3;2,771547E-08
-0,2;3,758927E-08
-0,1;4,801664E-08
0;5,85E-08
0,1;6,873665E-08
0,2;7,867549E-08
0,3;8,82131E-08
0,4;9,717637E-08
0,5;1,060021E-07
0,6;1,143672E-07
0,7;1,225043E-07
0,8;1,300338E-07
0,9;1,376502E-07
1;1,446262E-07
1,1;1,51431E-07
1,2;1,597003E-07
1,3;1,637323E-07
1,4;1,694788E-07
1,5;1,7418E-07
1,6;1,809405E-07
1,7;1,844608E-07
1,8;1,87111E-07
1,9;1,921868E-07
2;1,947256E-07
2,1;1,983588E-07
2,2;2,018797E-07
2,3;2,073706E-07
2,4;2,08493E-07
2,5;2,127044E-07
2,6;2,149415E-07
2,7;2,195555E-07
2,8;2,251228E-07
2,9;2,270319E-07
3;2,271704E-07
3,1;2,297989E-07
3,2;2,305337E-07
3,3;2,32491E-07
3,4;2,341777E-07
3,5;2,35985E-07
3,6;2,38175E-07
3,7;2,41654E-07
3,8;2,43799E-07
3,9;2,457435E-07
4;2,475708E-07
4,1;2,489686E-07
4,2;2,507195E-07
4,3;2,526509E-07
4,4;2,548635E-07
4,5;2,563759E-07
4,6;2,581339E-07
4,7;2,598706E-07
4,8;2,634597E-07
4,9;2,636592E-07
5;2,652859E-07
5,1;2,667855E-07
5,2;2,731246E-07
5,3;2,725148E-07
5,4;2,735357E-07
5,5;2,736476E-07
5,6;2,765476E-07
5,7;2,762712E-07
5,8;2,775678E-07
5,9;2,787403E-07
6;2,805876E-07
6,1;2,813432E-07
6,2;2,830424E-07
6,3;2,841961E-07
6,4;2,854104E-07
6,5;2,886127E-07
6,6;2,880802E-07
6,7;2,89053E-07
6,8;2,90757E-07
6,9;2,921596E-07
7;2,925045E-07
7,1;2,939681E-07
7,2;2,951716E-07
7,3;2,973145E-07
7,4;2,977015E-07
7,5;2,993651E-07
7,6;2,997978E-07
7,7;3,007275E-07
7,8;3,021115E-07
7,9;3,035906E-07
8;3,044997E-07
8,1;3,139706E-07
8,2;3,126517E-07
8,3;3,097562E-07
8,4;3,099336E-07
8,5;3,114816E-07
8,6;3,119318E-07
8,7;3,129307E-07
8,8;3,125809E-07
8,9;3,140497E-07
9;3,170081E-07
9,1;3,166815E-07
9,2;3,172982E-07
9,3;3,2022E-07
9,4;3,199087E-07
9,5;3,201226E-07
9,6;3,216254E-07
9,7;3,309467E-07
9,8;3,273268E-07
9,9;3,269413E-07
10;3,274571E-07
