Tensao [V];Corrente [A]
-10;-5,175047E-10
-9,95;-4,85996E-10
-9,9;-4,678569E-10
-9,85;-4,560942E-10
-9,8;-4,457069E-10
-9,75;-4,412384E-10
-9,7;-4,367269E-10
-9,65;-4,314996E-10
-9,6;-4,255047E-10
-9,55;-4,21029E-10
-9,5;-4,191319E-10
-9,45;-4,142724E-10
-9,4;-4,087518E-10
-9,35;-4,084964E-10
-9,3;-4,056842E-10
-9,25;-4,039638E-10
-9,2;-4,010155E-10
-9,15;-3,969548E-10
-9,1;-3,952554E-10
-9,05;-3,914833E-10
-9;-3,863771E-10
-8,95;-3,83778E-10
-8,9;-3,811872E-10
-8,85;-3,775573E-10
-8,8;-3,737764E-10
-8,75;-3,724419E-10
-8,7;-3,701791E-10
-8,65;-3,631425E-10
-8,6;-3,60112E-10
-8,55;-3,584908E-10
-8,5;-3,570136E-10
-8,45;-3,538803E-10
-8,4;-3,516104E-10
-8,35;-3,500313E-10
-8,3;-3,47822E-10
-8,25;-3,463512E-10
-8,2;-3,443298E-10
-8,15;-3,41271E-10
-8,1;-3,384275E-10
-8,05;-3,373947E-10
-8;-3,341218E-10
-7,95;-3,315866E-10
-7,9;-3,325784E-10
-7,85;-3,313948E-10
-7,8;-3,271729E-10
-7,75;-3,238283E-10
-7,7;-3,207929E-10
-7,65;-3,178168E-10
-7,6;-3,143073E-10
-7,55;-3,106627E-10
-7,5;-3,088337E-10
-7,45;-3,064954E-10
-7,4;-3,045423E-10
-7,35;-3,014611E-10
-7,3;-3,002935E-10
-7,25;-2,985076E-10
-7,2;-2,959341E-10
-7,15;-2,942016E-10
-7,1;-2,902511E-10
-7,05;-2,883787E-10
-7;-2,86635E-10
-6,95;-2,837891E-10
-6,9;-2,830311E-10
-6,85;-2,796641E-10
-6,8;-2,777383E-10
-6,75;-2,733741E-10
-6,7;-2,723105E-10
-6,65;-2,706744E-10
-6,6;-2,67581E-10
-6,55;-2,644899E-10
-6,5;-2,626409E-10
-6,45;-2,628007E-10
-6,4;-2,598468E-10
-6,35;-2,570433E-10
-6,3;-2,538469E-10
-6,25;-2,536623E-10
-6,2;-2,512376E-10
-6,15;-2,472377E-10
-6,1;-2,460564E-10
-6,05;-2,445293E-10
-6;-2,434531E-10
-5,95;-2,402865E-10
-5,9;-2,367311E-10
-5,85;-2,344485E-10
-5,8;-2,320387E-10
-5,75;-2,310045E-10
-5,7;-2,302615E-10
-5,65;-2,254231E-10
-5,6;-2,244362E-10
-5,55;-2,220882E-10
-5,5;-2,214813E-10
-5,45;-2,172521E-10
-5,4;-2,145228E-10
-5,35;-2,118578E-10
-5,3;-2,103172E-10
-5,25;-2,082775E-10
-5,2;-2,0735E-10
