Tensao [V];Corrente [A]
-10;-5,03949E-10
-9,9;-4,541951E-10
-9,8;-4,287708E-10
-9,7;-4,109182E-10
-9,6;-3,994506E-10
-9,5;-3,890737E-10
-9,4;-3,783555E-10
-9,3;-3,710648E-10
-9,2;-3,67527E-10
-9,1;-3,576345E-10
-9;-3,528433E-10
-8,9;-3,465025E-10
-8,8;-3,416876E-10
-8,7;-3,332876E-10
-8,6;-3,329968E-10
-8,5;-3,245184E-10
-8,4;-3,212678E-10
-8,3;-3,130359E-10
-8,2;-3,095448E-10
-8,1;-3,086706E-10
-8;-3,011497E-10
-7,9;-2,990359E-10
-7,8;-2,917505E-10
-7,7;-2,877912E-10
-7,6;-2,823012E-10
-7,5;-2,792857E-10
-7,4;-2,734616E-10
-7,3;-2,684659E-10
-7,2;-2,651802E-10
-7,1;-2,582516E-10
-7;-2,562513E-10
-6,9;-2,47974E-10
-6,8;-2,45153E-10
-6,7;-2,392519E-10
-6,6;-2,372383E-10
-6,5;-2,34458E-10
-6,4;-2,276381E-10
-6,3;-2,26052E-10
-6,2;-2,188654E-10
-6,1;-2,169608E-10
-6;-2,110189E-10
-5,9;-2,055179E-10
-5,8;-2,044776E-10
-5,7;-1,974101E-10
-5,6;-1,959637E-10
-5,5;-1,885655E-10
-5,4;-1,851946E-10
-5,3;-1,806756E-10
-5,2;-1,754581E-10
-5,1;-1,724092E-10
-5;-1,664338E-10
-4,9;-1,644574E-10
-4,8;-1,58518E-10
-4,7;-1,555571E-10
-4,6;-1,522468E-10
-4,5;-1,453204E-10
-4,4;-1,433762E-10
-4,3;-1,348745E-10
-4,2;-1,336461E-10
-4,1;-1,290788E-10
-4;-1,228719E-10
-3,9;-1,198588E-10
-3,8;-1,124136E-10
-3,7;-1,111703E-10
-3,6;-1,036693E-10
-3,5;-1,008172E-10
-3,4;-9,708839E-11
-3,3;-8,755643E-11
-3,2;-8,564432E-11
-3,1;-7,517857E-11
-3;-7,391666E-11
-2,9;-6,549061E-11
-2,8;-5,763416E-11
-2,7;-5,434867E-11
-2,6;-4,690716E-11
-2,5;-4,570339E-11
-2,4;-3,710641E-11
-2,3;-2,720789E-11
-2,2;-1,984932E-11
-2,1;-1,099474E-11
-2;-1,569265E-12
-1,9;1,222417E-11
-1,8;2,116553E-11
-1,7;3,929589E-11
-1,6;5,924178E-11
-1,5;9,308509E-11
-1,4;1,370067E-10
-1,3;1,920467E-10
-1,2;2,859135E-10
-1,1;4,448369E-10
-1;7,673345E-10
-0,9;1,445863E-09
-0,8;3,207511E-09
-0,7;5,011289E-09
-0,6;8,638962E-09
-0,5;1,493547E-08
-0,4;2,913106E-08
-0,3;4,341342E-08
-0,2;5,910645E-08
-0,1;7,53783E-08
0;9,182801E-08
0,1;1,079871E-07
0,2;1,237154E-07
0,3;1,387684E-07
0,4;1,533156E-07
0,5;1,673852E-07
0,6;1,808667E-07
0,7;1,940148E-07
0,8;2,067117E-07
0,9;2,189584E-07
1;2,31575E-07
1,1;2,41858E-07
1,2;2,517673E-07
1,3;2,614038E-07
1,4;2,706161E-07
1,5;2,795786E-07
1,6;2,871957E-07
1,7;2,943045E-07
1,8;3,015846E-07
1,9;3,133925E-07
2;3,181014E-07
2,1;3,197576E-07
2,2;3,250142E-07
2,3;3,304954E-07
2,4;3,352715E-07
2,5;3,398777E-07
2,6;3,452888E-07
2,7;3,498809E-07
2,8;3,545797E-07
2,9;3,582163E-07
3;3,621809E-07
3,1;3,668472E-07
3,2;3,705764E-07
3,3;3,745224E-07
3,4;3,869139E-07
3,5;3,850332E-07
3,6;3,849395E-07
3,7;3,87851E-07
3,8;3,906862E-07
3,9;3,937645E-07
4;3,969961E-07
4,1;4,002294E-07
4,2;4,053801E-07
4,3;4,071843E-07
4,4;4,098801E-07
4,5;4,158364E-07
4,6;4,23184E-07
4,7;4,231354E-07
4,8;4,238926E-07
4,9;4,241755E-07
5;4,266302E-07
5,1;4,288234E-07
5,2;4,314981E-07
5,3;4,333147E-07
5,4;4,371504E-07
5,5;4,38288E-07
5,6;4,402722E-07
5,7;4,437864E-07
5,8;4,456188E-07
5,9;4,470448E-07
6;4,550792E-07
6,1;4,567577E-07
6,2;4,546219E-07
6,3;4,555368E-07
6,4;4,568797E-07
6,5;4,61858E-07
6,6;4,621938E-07
6,7;4,643945E-07
6,8;4,677637E-07
6,9;4,67801E-07
7;4,704284E-07
7,1;4,710649E-07
7,2;4,73285E-07
7,3;4,792174E-07
7,4;4,877958E-07
7,5;4,867107E-07
7,6;4,821264E-07
7,7;4,839332E-07
7,8;4,84283E-07
7,9;4,858327E-07
8;4,871844E-07
8,1;4,890811E-07
8,2;4,913773E-07
8,3;4,927201E-07
8,4;4,935877E-07
8,5;4,959433E-07
8,6;4,976636E-07
8,7;4,995432E-07
8,8;5,004243E-07
8,9;5,020868E-07
9;5,156252E-07
9,1;5,110846E-07
9,2;5,055405E-07
9,3;5,082112E-07
9,4;5,097185E-07
9,5;5,159401E-07
9,6;5,126799E-07
9,7;5,161639E-07
9,8;5,176824E-07
9,9;5,176374E-07
10;5,192874E-07
