Tensao [V];Corrente [A]
-10;-8,003063E-10
-9,95;-7,747461E-10
-9,9;-7,604288E-10
-9,85;-7,494829E-10
-9,8;-7,406462E-10
-9,75;-7,336213E-10
-9,7;-7,316655E-10
-9,65;-7,237447E-10
-9,6;-7,168249E-10
-9,55;-7,112587E-10
-9,5;-7,083152E-10
-9,45;-7,035075E-10
-9,4;-6,951412E-10
-9,35;-6,916284E-10
-9,3;-6,888666E-10
-9,25;-6,879068E-10
-9,2;-6,820232E-10
-9,15;-6,756729E-10
-9,1;-6,726064E-10
-9,05;-6,688673E-10
-9;-6,636924E-10
-8,95;-6,600749E-10
-8,9;-6,56564E-10
-8,85;-6,543011E-10
-8,8;-6,469153E-10
-8,75;-6,426304E-10
-8,7;-6,421721E-10
-8,65;-6,390777E-10
-8,6;-6,332347E-10
-8,55;-6,292555E-10
-8,5;-6,264103E-10
-8,45;-6,245942E-10
-8,4;-6,194816E-10
-8,35;-6,142829E-10
-8,3;-6,20084E-10
-8,25;-6,189481E-10
-8,2;-6,074281E-10
-8,15;-6,024868E-10
-8,1;-5,953882E-10
-8,05;-6,022665E-10
-8;-5,963443E-10
-7,95;-5,88634E-10
-7,9;-5,838116E-10
-7,85;-5,80356E-10
-7,8;-5,77437E-10
-7,75;-5,748079E-10
-7,7;-5,727733E-10
-7,65;-5,85841E-10
-7,6;-5,830651E-10
-7,55;-5,689342E-10
-7,5;-5,596132E-10
-7,45;-5,535681E-10
-7,4;-5,490741E-10
-7,35;-5,428979E-10
-7,3;-5,422973E-10
-7,25;-5,404209E-10
-7,2;-5,366E-10
-7,15;-5,328742E-10
-7,1;-5,285857E-10
-7,05;-5,281089E-10
-7;-5,238451E-10
-6,95;-5,205222E-10
-6,9;-5,179256E-10
-6,85;-5,151993E-10
-6,8;-5,12536E-10
-6,75;-5,088107E-10
-6,7;-5,076908E-10
-6,65;-5,036029E-10
-6,6;-4,982106E-10
-6,55;-4,943162E-10
-6,5;-4,902971E-10
-6,45;-4,8973E-10
-6,4;-4,853165E-10
-6,35;-4,812494E-10
-6,3;-4,799147E-10
-6,25;-4,760195E-10
-6,2;-4,741065E-10
-6,15;-4,687092E-10
-6,1;-4,648678E-10
-6,05;-4,634399E-10
-6;-4,613606E-10
-5,95;-4,581171E-10
-5,9;-4,547484E-10
-5,85;-4,506367E-10
-5,8;-4,472537E-10
-5,75;-4,437464E-10
-5,7;-4,419115E-10
-5,65;-4,428537E-10
-5,6;-4,388437E-10
-5,55;-4,322381E-10
-5,5;-4,28405E-10
-5,45;-4,264496E-10
-5,4;-4,230515E-10
-5,35;-4,195022E-10
-5,3;-4,150325E-10
-5,25;-4,125257E-10
-5,2;-4,097485E-10
-5,15;-4,072267E-10
-5,1;-4,035189E-10
-5,05;-4,001194E-10
-5;-3,986002E-10
-4,95;-3,94215E-10
-4,9;-3,911136E-10
-4,85;-3,864613E-10
-4,8;-3,838579E-10
-4,75;-3,816897E-10
-4,7;-3,764697E-10
-4,65;-3,750093E-10
-4,6;-3,74535E-10
-4,55;-3,71304E-10
-4,5;-3,669435E-10
-4,45;-3,621398E-10
-4,4;-3,60386E-10
-4,35;-3,55742E-10
-4,3;-3,55611E-10
-4,25;-3,417243E-10
-4,2;-3,422915E-10
-4,15;-3,416042E-10
-4,1;-3,368266E-10
-4,05;-3,334953E-10
-4;-3,350654E-10
-3,95;-3,305638E-10
-3,9;-3,253214E-10
-3,85;-3,210478E-10
-3,8;-3,187257E-10
-3,75;-3,168148E-10
-3,7;-3,129434E-10
-3,65;-3,100198E-10
-3,6;-3,064034E-10
-3,55;-3,037843E-10
-3,5;-2,999749E-10
-3,45;-2,956973E-10
-3,4;-2,929555E-10
-3,35;-2,897294E-10
-3,3;-2,865109E-10
-3,25;-2,804313E-10
-3,2;-2,793936E-10
-3,15;-2,771485E-10
-3,1;-2,724152E-10
-3,05;-2,686614E-10
-3;-2,679606E-10
-2,95;-2,676943E-10
-2,9;-2,616605E-10
-2,85;-2,549077E-10
-2,8;-2,507861E-10
-2,75;-2,457767E-10
-2,7;-2,43789E-10
-2,65;-2,372651E-10
-2,6;-2,340698E-10
-2,55;-2,299733E-10
-2,5;-2,251769E-10
-2,45;-2,208573E-10
-2,4;-2,162492E-10
-2,35;-2,115754E-10
-2,3;-2,053336E-10
-2,25;-1,993744E-10
-2,2;-1,948258E-10
-2,15;-1,901978E-10
-2,1;-1,83587E-10
-2,05;-1,749887E-10
-2;-1,693489E-10
-1,95;-1,639419E-10
-1,9;-1,579332E-10
-1,85;-1,462724E-10
-1,8;-1,317332E-10
-1,75;-1,18289E-10
-1,7;-1,010737E-10
-1,65;-7,891713E-11
-1,6;-5,490424E-11
-1,55;-2,104341E-11
-1,5;1,650063E-11
-1,45;6,475483E-11
-1,4;1,160283E-10
-1,35;1,789505E-10
-1,3;2,558669E-10
-1,25;3,507541E-10
-1,2;4,704844E-10
-1,15;6,445953E-10
-1,1;8,723855E-10
-1,05;1,213372E-09
-1;1,680343E-09
-0,95;2,604814E-09
-0,9;3,349785E-09
-0,85;4,685668E-09
-0,8;6,458071E-09
-0,75;8,872613E-09
-0,7;1,187847E-08
-0,65;1,586668E-08
-0,6;2,34405E-08
-0,55;3,058719E-08
-0,5;3,955732E-08
-0,45;5,070601E-08
-0,4;6,389956E-08
-0,35;7,899568E-08
-0,3;9,57198E-08
-0,25;1,122366E-07
-0,2;1,295265E-07
-0,15;1,490681E-07
-0,1;1,655581E-07
-0,05;1,82394E-07
0;1,987052E-07
0,05;2,152367E-07
0,1;2,322598E-07
0,15;2,495689E-07
0,2;2,664175E-07
0,25;2,828771E-07
0,3;3,00137E-07
0,35;3,165614E-07
0,4;3,33284E-07
0,45;3,496799E-07
0,5;3,655569E-07
0,55;3,814763E-07
0,6;3,971424E-07
0,65;4,13775E-07
0,7;4,285915E-07
0,75;4,473649E-07
0,8;4,659678E-07
0,85;4,791179E-07
0,9;4,87902E-07
0,95;5,013759E-07
1;5,154104E-07
1,05;5,295465E-07
1,1;5,417666E-07
1,15;5,547091E-07
1,2;5,677645E-07
1,25;5,796524E-07
1,3;5,912985E-07
1,35;6,026078E-07
1,4;6,139076E-07
1,45;6,241511E-07
1,5;6,345407E-07
1,55;6,435599E-07
1,6;6,535523E-07
1,65;6,624561E-07
1,7;6,71116E-07
1,75;6,803024E-07
1,8;6,87712E-07
1,85;6,964335E-07
1,9;7,15916E-07
