Tensao [V];Corrente [A]
-10;-2,679627E-10
-9,9;-2,520393E-10
-9,8;-2,454376E-10
-9,7;-2,401954E-10
-9,6;-2,349657E-10
-9,5;-2,308998E-10
-9,4;-2,275561E-10
-9,3;-2,226769E-10
-9,2;-2,182447E-10
-9,1;-2,160849E-10
-9;-2,126769E-10
-8,9;-2,074211E-10
-8,8;-2,03867E-10
-8,7;-2,008588E-10
-8,6;-1,97733E-10
-8,5;-1,932958E-10
-8,4;-1,880947E-10
-8,3;-1,860896E-10
-8,2;-1,838976E-10
-8,1;-1,796511E-10
-8;-1,760635E-10
-7,9;-1,728869E-10
-7,8;-1,699247E-10
-7,7;-1,664003E-10
-7,6;-1,62129E-10
-7,5;-1,596029E-10
-7,4;-1,568744E-10
-7,3;-1,523544E-10
-7,2;-1,488101E-10
-7,1;-1,464571E-10
-7;-1,430898E-10
-6,9;-1,390217E-10
-6,8;-1,362527E-10
-6,7;-1,328867E-10
-6,6;-1,296867E-10
-6,5;-1,25782E-10
-6,4;-1,226377E-10
-6,3;-1,192209E-10
-6,2;-1,160457E-10
-6,1;-1,130302E-10
-6;-1,096048E-10
-5,9;-1,066908E-10
-5,8;-1,037348E-10
-5,7;-1,00993E-10
-5,6;-9,735824E-11
-5,5;-9,444306E-11
-5,4;-9,170748E-11
-5,3;-8,79254E-11
-5,2;-8,460148E-11
-5,1;-8,198719E-11
-5;-7,867331E-11
-4,9;-7,558589E-11
-4,8;-7,149928E-11
-4,7;-6,921316E-11
-4,6;-6,55103E-11
-4,5;-6,333316E-11
-4,4;-5,965391E-11
-4,3;-5,628174E-11
-4,2;-5,305446E-11
-4,1;-5,028547E-11
-4;-4,651823E-11
-3,9;-4,361542E-11
-3,8;-4,047855E-11
-3,7;-3,756705E-11
-3,6;-3,426054E-11
-3,5;-3,178252E-11
-3,4;-2,891931E-11
-3,3;-2,583819E-11
-3,2;-2,305056E-11
-3,1;-1,954339E-11
-3;-1,644616E-11
-2,9;-1,319164E-11
-2,8;-1,02393E-11
-2,7;-7,05166E-12
-2,6;-4,717277E-12
-2,5;-8,732815E-13
-2,4;1,422725E-12
-2,3;4,879133E-12
-2,2;7,369583E-12
-2,1;8,091573E-12
-2;1,195418E-11
-1,9;1,435671E-11
-1,8;1,784655E-11
-1,7;2,047074E-11
-1,6;2,248191E-11
-1,5;2,594946E-11
-1,4;2,994336E-11
-1,3;3,243503E-11
-1,2;3,541217E-11
-1,1;3,888714E-11
-1;4,160671E-11
-0,9;4,48031E-11
-0,8;4,726381E-11
-0,7;4,958582E-11
-0,6;5,183105E-11
-0,5;5,581009E-11
-0,4;5,900637E-11
-0,3;6,18981E-11
-0,2;6,535082E-11
-0,1;6,770003E-11
0;6,756511E-11
0,1;6,823135E-11
0,2;6,810004E-11
0,3;7,036882E-11
0,4;7,033289E-11
0,5;7,316888E-11
0,6;7,348716E-11
0,7;7,59281E-11
0,8;7,712934E-11
0,9;7,87603E-11
1;8,08123E-11
1,1;8,227617E-11
1,2;8,44917E-11
1,3;8,643222E-11
1,4;8,835308E-11
1,5;8,977223E-11
1,6;9,242E-11
1,7;9,327328E-11
1,8;9,539838E-11
1,9;9,685728E-11
2;8,940201E-11
2,1;9,471108E-11
2,2;9,843124E-11
2,3;1,022096E-10
2,4;1,045961E-10
2,5;1,075584E-10
2,6;1,095199E-10
2,7;1,12631E-10
2,8;1,150446E-10
2,9;1,171003E-10
3;1,197245E-10
3,1;1,210843E-10
3,2;1,237507E-10
3,3;1,256404E-10
3,4;1,288913E-10
3,5;1,313062E-10
3,6;1,336381E-10
3,7;1,34905E-10
3,8;1,375973E-10
3,9;1,404519E-10
4;1,427627E-10
4,1;1,455294E-10
4,2;1,466984E-10
4,3;1,501077E-10
4,4;1,505548E-10
4,5;1,544248E-10
4,6;1,570875E-10
4,7;1,595259E-10
4,8;1,617178E-10
4,9;1,635024E-10
5;1,665279E-10
5,1;1,677204E-10
5,2;1,707471E-10
5,3;1,728971E-10
5,4;1,759026E-10
5,5;1,792191E-10
5,6;1,814197E-10
5,7;1,842223E-10
5,8;1,865593E-10
5,9;1,891227E-10
6;1,912403E-10
6,1;1,942188E-10
6,2;1,962472E-10
6,3;1,987067E-10
6,4;2,004082E-10
6,5;2,04464E-10
6,6;2,059822E-10
6,7;2,088976E-10
6,8;2,102845E-10
6,9;2,114685E-10
7;2,146983E-10
7,1;2,180259E-10
7,2;2,211961E-10
7,3;2,225908E-10
7,4;2,26701E-10
7,5;2,289823E-10
7,6;2,306665E-10
7,7;2,327309E-10
7,8;2,359742E-10
7,9;2,390219E-10
8;2,400015E-10
8,1;2,432003E-10
8,2;2,456077E-10
8,3;2,478802E-10
8,4;2,508006E-10
8,5;2,5325E-10
8,6;2,554619E-10
8,7;2,580983E-10
8,8;2,608503E-10
8,9;2,628044E-10
9;2,653904E-10
9,1;2,669938E-10
9,2;2,701072E-10
9,3;2,723241E-10
9,4;2,744109E-10
9,5;2,773915E-10
9,6;2,791354E-10
9,7;2,811341E-10
9,8;2,831528E-10
9,9;2,85508E-10
10;2,88691E-10
