Tensao [V];Corrente [A]
-10;-6,649353E-10
-9,95;-6,429589E-10
-9,9;-6,309587E-10
-9,85;-6,218169E-10
-9,8;-6,132757E-10
-9,75;-6,036641E-10
-9,7;-5,987773E-10
-9,65;-5,931163E-10
-9,6;-5,845227E-10
-9,55;-5,77203E-10
-9,5;-5,731466E-10
-9,45;-5,699318E-10
-9,4;-5,627898E-10
-9,35;-5,563983E-10
-9,3;-5,49207E-10
-9,25;-5,47084E-10
-9,2;-5,400451E-10
-9,15;-5,339E-10
-9,1;-5,307287E-10
-9,05;-5,260271E-10
-9;-5,217722E-10
-8,95;-5,161195E-10
-8,9;-5,11278E-10
-8,85;-5,090853E-10
-8,8;-5,043384E-10
-8,75;-4,983187E-10
-8,7;-4,927644E-10
-8,65;-4,898739E-10
-8,6;-4,862796E-10
-8,55;-4,795812E-10
-8,5;-4,750351E-10
-8,45;-4,719282E-10
-8,4;-4,657383E-10
-8,35;-4,584055E-10
-8,3;-4,578631E-10
-8,25;-4,601073E-10
-8,2;-4,552709E-10
-8,15;-4,470544E-10
-8,1;-4,463791E-10
-8,05;-4,393972E-10
-8;-4,327217E-10
-7,95;-4,266001E-10
-7,9;-4,22833E-10
-7,85;-4,178E-10
-7,8;-4,129581E-10
-7,75;-4,073848E-10
-7,7;-4,023506E-10
-7,65;-4,009674E-10
-7,6;-3,964631E-10
-7,55;-3,920519E-10
-7,5;-3,884714E-10
-7,45;-3,831129E-10
-7,4;-3,785443E-10
-7,35;-3,773928E-10
-7,3;-3,755251E-10
-7,25;-3,708906E-10
-7,2;-3,720848E-10
-7,15;-3,535323E-10
-7,1;-3,5252E-10
-7,05;-3,702569E-10
-7;-3,605637E-10
-6,95;-3,542563E-10
-6,9;-3,501401E-10
-6,85;-3,430873E-10
-6,8;-3,413349E-10
-6,75;-3,366919E-10
-6,7;-3,322917E-10
-6,65;-3,275151E-10
-6,6;-3,240761E-10
-6,55;-3,210692E-10
-6,5;-3,173777E-10
-6,45;-3,134481E-10
-6,4;-3,101464E-10
-6,35;-3,045548E-10
-6,3;-3,020939E-10
-6,25;-2,960643E-10
-6,2;-2,959872E-10
-6,15;-2,889124E-10
-6,1;-2,860638E-10
-6,05;-2,80964E-10
-6;-2,782544E-10
-5,95;-2,750593E-10
-5,9;-2,707001E-10
-5,85;-2,670937E-10
-5,8;-2,641438E-10
-5,75;-2,607961E-10
-5,7;-2,574203E-10
-5,65;-2,570946E-10
-5,6;-2,540852E-10
-5,55;-2,487477E-10
-5,5;-2,431215E-10
-5,45;-2,388465E-10
-5,4;-2,353912E-10
-5,35;-2,316203E-10
-5,3;-2,269725E-10
-5,25;-2,250106E-10
-5,2;-2,196347E-10
-5,15;-2,151046E-10
-5,1;-2,107204E-10
-5,05;-2,076567E-10
-5;-2,054832E-10
-4,95;-2,016974E-10
-4,9;-1,979784E-10
-4,85;-1,926629E-10
-4,8;-1,908761E-10
-4,75;-1,878592E-10
-4,7;-1,838443E-10
-4,65;-1,78628E-10
-4,6;-1,748422E-10
-4,55;-1,723789E-10
-4,5;-1,707715E-10
-4,45;-1,65923E-10
-4,4;-1,614536E-10
-4,35;-1,566757E-10
-4,3;-1,53992E-10
-4,25;-1,496897E-10
-4,2;-1,461566E-10
-4,15;-1,416511E-10
-4,1;-1,365984E-10
-4,05;-1,342366E-10
-4;-1,312422E-10
-3,95;-1,284843E-10
-3,9;-1,239578E-10
-3,85;-1,176814E-10
-3,8;-1,131822E-10
-3,75;-1,085209E-10
-3,7;-1,064539E-10
-3,65;-1,012042E-10
-3,6;-9,264424E-11
-3,55;-8,678779E-11
-3,5;-8,002842E-11
-3,45;-7,610259E-11
-3,4;-7,095451E-11
-3,35;-6,558715E-11
-3,3;-6,029411E-11
-3,25;-5,623083E-11
-3,2;-5,224068E-11
-3,15;-4,597796E-11
-3,1;-4,100073E-11
-3,05;-3,758764E-11
-3;-3,142647E-11
-2,95;-2,767652E-11
-2,9;-2,380519E-11
-2,85;-1,778398E-11
-2,8;-1,41876E-11
-2,75;-9,007265E-12
-2,7;-4,622008E-12
-2,65;1,068561E-12
-2,6;7,541866E-12
-2,55;1,361144E-11
-2,5;1,646728E-11
-2,45;2,270901E-11
-2,4;3,031793E-11
-2,35;3,804086E-11
-2,3;4,294504E-11
-2,25;4,85626E-11
-2,2;5,524395E-11
-2,15;6,096182E-11
-2,1;6,709455E-11
-2,05;7,331274E-11
-2;7,932531E-11
-1,95;8,724144E-11
-1,9;9,379892E-11
-1,85;9,887529E-11
-1,8;1,025213E-10
-1,75;1,104943E-10
-1,7;1,207957E-10
-1,65;1,258782E-10
-1,6;1,330561E-10
-1,55;1,422008E-10
-1,5;1,483211E-10
-1,45;1,559251E-10
-1,4;1,625929E-10
-1,35;1,713709E-10
-1,3;1,807792E-10
-1,25;1,871981E-10
-1,2;1,972628E-10
-1,15;2,054934E-10
-1,1;2,150506E-10
-1,05;2,247783E-10
-1;2,352965E-10
-0,95;2,485539E-10
-0,9;2,54595E-10
-0,85;2,717674E-10
-0,8;2,875523E-10
-0,75;3,097934E-10
-0,7;3,324729E-10
-0,65;3,701162E-10
-0,6;4,463048E-10
-0,55;6,241617E-10
-0,5;1,003276E-09
-0,45;1,806588E-09
-0,4;3,787918E-09
-0,35;5,614654E-09
-0,3;8,996135E-09
-0,25;1,41429E-08
-0,2;2,034913E-08
-0,15;3,153808E-08
-0,1;3,96311E-08
-0,05;4,705386E-08
0;5,474415E-08
0,05;6,245387E-08
0,1;6,987552E-08
0,15;7,730717E-08
0,2;8,443135E-08
