Tensao [V];Corrente [A]
-10;-3,155603E-10
-9,95;-3,02724E-10
-9,9;-2,983339E-10
-9,85;-2,960935E-10
-9,8;-2,930743E-10
-9,75;-2,89966E-10
-9,7;-2,869294E-10
-9,65;-2,855907E-10
-9,6;-2,859362E-10
-9,55;-2,812315E-10
-9,5;-2,773786E-10
-9,45;-2,757354E-10
-9,4;-2,748488E-10
-9,35;-2,709513E-10
-9,3;-2,669317E-10
-9,25;-2,65952E-10
-9,2;-2,644771E-10
-9,15;-2,615533E-10
-9,1;-2,585823E-10
-9,05;-2,565575E-10
-9;-2,564512E-10
-8,95;-2,549166E-10
-8,9;-2,500845E-10
-8,85;-2,474551E-10
-8,8;-2,456894E-10
-8,75;-2,42789E-10
-8,7;-2,383916E-10
-8,65;-2,361686E-10
-8,6;-2,347877E-10
-8,55;-2,32192E-10
-8,5;-2,296669E-10
-8,45;-2,269784E-10
-8,4;-2,255652E-10
-8,35;-2,235319E-10
-8,3;-2,20613E-10
-8,25;-2,200271E-10
-8,2;-2,21028E-10
-8,15;-2,186415E-10
-8,1;-2,171194E-10
-8,05;-2,151788E-10
-8;-2,150562E-10
-7,95;-2,140915E-10
-7,9;-2,119763E-10
-7,85;-2,096567E-10
-7,8;-2,077634E-10
-7,75;-2,06437E-10
-7,7;-2,021991E-10
-7,65;-1,976319E-10
-7,6;-2,022078E-10
-7,55;-2,03274E-10
-7,5;-1,997806E-10
-7,45;-1,985594E-10
-7,4;-1,979588E-10
-7,35;-1,959528E-10
-7,3;-1,93877E-10
-7,25;-1,905854E-10
-7,2;-1,89648E-10
-7,15;-1,888405E-10
-7,1;-1,869013E-10
-7,05;-1,841842E-10
-7;-1,836082E-10
-6,95;-1,813829E-10
-6,9;-1,782783E-10
-6,85;-1,743895E-10
-6,8;-1,733629E-10
-6,75;-1,732639E-10
-6,7;-1,712229E-10
-6,65;-1,672663E-10
-6,6;-1,655386E-10
-6,55;-1,650817E-10
-6,5;-1,637282E-10
-6,45;-1,596874E-10
-6,4;-1,580588E-10
-6,35;-1,577951E-10
-6,3;-1,565888E-10
-6,25;-1,540773E-10
-6,2;-1,509738E-10
-6,15;-1,516104E-10
-6,1;-1,492847E-10
-6,05;-1,44933E-10
-6;-1,43349E-10
-5,95;-1,423831E-10
-5,9;-1,421786E-10
-5,85;-1,381589E-10
-5,8;-1,35495E-10
-5,75;-1,347718E-10
-5,7;-1,344126E-10
-5,65;-1,306888E-10
-5,6;-1,273972E-10
-5,55;-1,274455E-10
-5,5;-1,277884E-10
-5,45;-1,237587E-10
-5,4;-1,20243E-10
-5,35;-1,196089E-10
-5,3;-1,198256E-10
-5,25;-1,170714E-10
-5,2;-1,144979E-10
-5,15;-1,132472E-10
-5,1;-1,133698E-10
-5,05;-1,104E-10
-5;-1,062613E-10
-4,95;-1,051765E-10
-4,9;-1,055988E-10
-4,85;-1,040866E-10
-4,8;-9,997778E-11
-4,75;-9,7995E-11
-4,7;-9,654976E-11
-4,65;-9,43776E-11
-4,6;-9,016461E-11
-4,55;-8,814106E-11
-4,5;-8,79441E-11
-4,45;-8,64778E-11
-4,4;-8,336945E-11
-4,35;-8,08048E-11
-4,3;-8,030941E-11
-4,25;-7,957993E-11
-4,2;-7,705977E-11
-4,15;-7,478113E-11
-4,1;-7,332603E-11
-4,05;-7,292359E-11
-4;-6,87476E-11
-3,95;-6,647275E-11
-3,9;-6,63984E-11
-3,85;-6,543988E-11
-3,8;-6,352902E-11
-3,75;-6,054199E-11
-3,7;-5,907452E-11
-3,65;-5,902493E-11
-3,6;-5,700384E-11
-3,55;-5,386327E-11
-3,5;-5,172211E-11
-3,45;-5,127502E-11
-3,4;-4,934064E-11
-3,35;-4,746821E-11
-3,3;-4,634372E-11
-3,25;-4,373192E-11
-3,2;-4,184087E-11
-3,15;-4,041671E-11
-3,1;-4,328484E-11
-3,05;-4,002165E-11
-3;-3,792754E-11
-2,95;-3,54371E-11
-2,9;-3,196091E-11
-2,85;-3,337764E-11
-2,8;-3,906932E-11
-2,75;-3,86074E-11
-2,7;-2,992125E-11
-2,65;-2,953611E-11
-2,6;-2,882279E-11
-2,55;-2,462832E-11
-2,5;-1,988525E-11
-2,45;-1,837438E-11
-2,4;-1,773043E-11
-2,35;-1,531058E-11
-2,3;-1,269136E-11
-2,25;-1,237681E-11
-2,2;-1,111487E-11
-2,15;-7,627533E-12
-2,1;-4,005202E-12
-2,05;-2,764324E-12
-2;-2,182276E-12
-1,95;5,675722E-14
-1,9;3,971385E-12
-1,85;5,518166E-12
-1,8;6,477935E-12
-1,75;8,066823E-12
-1,7;1,147369E-11
-1,65;1,188733E-11
-1,6;9,541776E-12
-1,55;1,19542E-11
-1,5;1,488058E-11
-1,45;1,624284E-11
-1,4;1,655615E-11
-1,35;1,771159E-11
-1,3;2,139217E-11
-1,25;2,400893E-11
-1,2;2,288694E-11
-1,15;2,454641E-11
-1,1;2,827776E-11
-1,05;2,954836E-11
-1;2,990255E-11
-0,95;3,078429E-11
-0,9;3,371933E-11
-0,85;3,671879E-11
-0,8;3,630021E-11
-0,75;3,712002E-11
-0,7;4,101486E-11
-0,65;4,331457E-11
-0,6;4,469418E-11
-0,55;4,556231E-11
-0,5;5,034759E-11
-0,45;5,368505E-11
-0,4;5,353768E-11
-0,35;5,430796E-11
-0,3;5,803687E-11
-0,25;6,132359E-11
-0,2;6,296202E-11
-0,15;6,300908E-11
-0,1;6,719617E-11
-0,05;7,095476E-11
0;7,231697E-11
0,05;7,348115E-11
0,1;7,286562E-11
0,15;7,449543E-11
0,2;7,671094E-11
0,25;7,96707E-11
0,3;7,981434E-11
0,35;7,99692E-11
0,4;8,275314E-11
0,45;8,54343E-11
0,5;8,603992E-11
0,55;8,766223E-11
0,6;9,103688E-11
0,65;9,502826E-11
0,7;9,534655E-11
0,75;9,654907E-11
0,8;1,010297E-10
0,85;1,054037E-10
0,9;1,059251E-10
0,95;1,060254E-10
1;1,078422E-10
1,05;1,111908E-10
1,1;1,133978E-10
1,15;1,150287E-10
1,2;1,18012E-10
1,25;1,213421E-10
1,3;1,224171E-10
1,35;1,233211E-10
1,4;1,259242E-10
1,45;1,289238E-10
1,5;1,301311E-10
1,55;1,323689E-10
1,6;1,346253E-10
1,65;1,37033E-10
1,7;1,397327E-10
1,75;1,421697E-10
1,8;1,43277E-10
1,85;1,478331E-10
1,9;1,503608E-10
1,95;1,511582E-10
2;1,537205E-10
2,05;1,551966E-10
2,1;1,576339E-10
2,15;1,591967E-10
2,2;1,669442E-10
2,25;1,696006E-10
2,3;1,714249E-10
2,35;1,707375E-10
2,4;1,722657E-10
2,45;1,74257E-10
2,5;1,756777E-10
2,55;1,754547E-10
2,6;1,752875E-10
2,65;1,786758E-10
2,7;1,842945E-10
2,75;1,878574E-10
2,8;1,891305E-10
2,85;1,919119E-10
2,9;1,951789E-10
2,95;1,966849E-10
3;1,964817E-10
3,05;1,970537E-10
3,1;2,005251E-10
3,15;2,013264E-10
3,2;2,019133E-10
3,25;2,046367E-10
3,3;2,078033E-10
