Tensao [V];Corrente [A]
-10;-4,398447E-10
-9,95;-4,221117E-10
-9,9;-4,127099E-10
-9,85;-4,0613E-10
-9,8;-4,027889E-10
-9,75;-3,957693E-10
-9,7;-3,897209E-10
-9,65;-3,857059E-10
-9,6;-3,830249E-10
-9,55;-3,762632E-10
-9,5;-3,692738E-10
-9,45;-3,671225E-10
-9,4;-3,649168E-10
-9,35;-3,59474E-10
-9,3;-3,546836E-10
-9,25;-3,516064E-10
-9,2;-3,517102E-10
-9,15;-3,462889E-10
-9,1;-3,406959E-10
-9,05;-3,381476E-10
-9;-3,358812E-10
-8,95;-3,314028E-10
-8,9;-3,254251E-10
-8,85;-3,184902E-10
-8,8;-3,223787E-10
-8,75;-3,145295E-10
-8,7;-3,120885E-10
-8,65;-3,095078E-10
-8,6;-3,079003E-10
-8,55;-3,030025E-10
-8,5;-2,965898E-10
-8,45;-2,956079E-10
-8,4;-2,941838E-10
-8,35;-2,909722E-10
-8,3;-2,858368E-10
-8,25;-2,83823E-10
-8,2;-2,838319E-10
-8,15;-2,793489E-10
-8,1;-2,756274E-10
-8,05;-2,747791E-10
-8;-2,73225E-10
-7,95;-2,689884E-10
-7,9;-2,62609E-10
-7,85;-2,607601E-10
-7,8;-2,595887E-10
-7,75;-2,551453E-10
-7,7;-2,42521E-10
-7,65;-2,455687E-10
-7,6;-2,486732E-10
-7,55;-2,426262E-10
-7,5;-2,369791E-10
-7,45;-2,361778E-10
-7,4;-2,381667E-10
-7,35;-2,344873E-10
-7,3;-2,279398E-10
-7,25;-2,264661E-10
-7,2;-2,243014E-10
-7,15;-2,209019E-10
-7,1;-2,155507E-10
-7,05;-2,140138E-10
-7;-2,142169E-10
-6,95;-2,098381E-10
-6,9;-2,041165E-10
-6,85;-2,023381E-10
-6,8;-2,020643E-10
-6,75;-1,9813E-10
-6,7;-1,931776E-10
-6,65;-1,919912E-10
-6,6;-1,920581E-10
-6,55;-1,886512E-10
-6,5;-1,771178E-10
-6,45;-1,816207E-10
-6,4;-1,838302E-10
-6,35;-1,800245E-10
-6,3;-1,759166E-10
-6,25;-1,74023E-10
-6,2;-1,739883E-10
-6,15;-1,692378E-10
-6,1;-1,641641E-10
-6,05;-1,634706E-10
-6;-1,619597E-10
-5,95;-1,583002E-10
-5,9;-1,536933E-10
-5,85;-1,528326E-10
-5,8;-1,541662E-10
-5,75;-1,47781E-10
-5,7;-1,439519E-10
-5,65;-1,417315E-10
-5,6;-1,431805E-10
-5,55;-1,393414E-10
-5,5;-1,333451E-10
-5,45;-1,33205E-10
-5,4;-1,315963E-10
-5,35;-1,215366E-10
-5,3;-1,216531E-10
-5,25;-1,364434E-10
-5,2;-1,303963E-10
-5,15;-1,210562E-10
-5,1;-1,14879E-10
-5,05;-1,123179E-10
-5;-1,114102E-10
-4,95;-1,079686E-10
-4,9;-1,030063E-10
-4,85;-1,011202E-10
-4,8;-9,93902E-11
-4,75;-9,391644E-11
-4,7;-8,836212E-11
-4,65;-8,595092E-11
-4,6;-8,578009E-11
-4,55;-7,918059E-11
-4,5;-7,51508E-11
-4,45;-7,29835E-11
-4,4;-7,14764E-11
-4,35;-6,754815E-11
-4,3;-6,14316E-11
-4,25;-6,040003E-11
-4,2;-5,94861E-11
-4,15;-5,189584E-11
-4,1;-5,187231E-11
-4,05;-5,191444E-11
-4;-5,130391E-11
