Tensao [V];Corrente [A]
-10;-6,697514E-10
-9,95;-6,428899E-10
-9,9;-6,305545E-10
-9,85;-6,1724E-10
-9,8;-6,081835E-10
-9,75;-6,007704E-10
-9,7;-5,926871E-10
-9,65;-5,856728E-10
-9,6;-5,787228E-10
-9,55;-5,727261E-10
-9,5;-5,668451E-10
-9,45;-5,609155E-10
-9,4;-5,564828E-10
-9,35;-5,511914E-10
-9,3;-5,464197E-10
-9,25;-5,416891E-10
-9,2;-5,356782E-10
-9,15;-5,323673E-10
-9,1;-5,25905E-10
-9,05;-5,217725E-10
-9;-5,14777E-10
-8,95;-5,112682E-10
-8,9;-5,067521E-10
-8,85;-5,001908E-10
-8,8;-4,963414E-10
-8,75;-4,900271E-10
-8,7;-4,866759E-10
-8,65;-4,804207E-10
-8,6;-4,748585E-10
-8,55;-4,717122E-10
-8,5;-4,671744E-10
-8,45;-4,638605E-10
-8,4;-4,585326E-10
-8,35;-4,540731E-10
-8,3;-4,496408E-10
-8,25;-4,477243E-10
-8,2;-4,441595E-10
-8,15;-4,373792E-10
-8,1;-4,326051E-10
-8,05;-4,278313E-10
-8;-4,249666E-10
-7,95;-4,209652E-10
-7,9;-4,162296E-10
-7,85;-4,116684E-10
-7,8;-4,066565E-10
-7,75;-4,030637E-10
-7,7;-4,003841E-10
-7,65;-3,964794E-10
-7,6;-3,939617E-10
-7,55;-3,885993E-10
-7,5;-3,855094E-10
-7,45;-3,811044E-10
-7,4;-3,76641E-10
-7,35;-3,753171E-10
-7,3;-3,692513E-10
-7,25;-3,688403E-10
-7,2;-3,619533E-10
-7,15;-3,588693E-10
-7,1;-3,54503E-10
-7,05;-3,523384E-10
-7;-3,487862E-10
-6,95;-3,438118E-10
-6,9;-3,413642E-10
-6,85;-3,376813E-10
-6,8;-3,335872E-10
-6,75;-3,311463E-10
-6,7;-3,271129E-10
-6,65;-3,230264E-10
-6,6;-3,204278E-10
-6,55;-3,151213E-10
-6,5;-3,119793E-10
-6,45;-3,081488E-10
-6,4;-3,049129E-10
-6,35;-3,013981E-10
-6,3;-2,994539E-10
-6,25;-2,941102E-10
-6,2;-2,894079E-10
-6,15;-2,861112E-10
-6,1;-2,832023E-10
-6,05;-2,803572E-10
-6;-2,760725E-10
-5,95;-2,719064E-10
-5,9;-2,686742E-10
-5,85;-2,649021E-10
-5,8;-2,62123E-10
-5,75;-2,56227E-10
-5,7;-2,532707E-10
-5,65;-2,504657E-10
-5,6;-2,464756E-10
-5,55;-2,44967E-10
-5,5;-2,390091E-10
-5,45;-2,380382E-10
-5,4;-2,353558E-10
-5,35;-2,341247E-10
-5,3;-2,288219E-10
-5,25;-2,244328E-10
-5,2;-2,21224E-10
-5,15;-2,178185E-10
-5,1;-2,142505E-10
-5,05;-2,118356E-10
-5;-2,071409E-10
-4,95;-2,03729E-10
-4,9;-1,996881E-10
-4,85;-1,971479E-10
-4,8;-1,936481E-10
-4,75;-1,896185E-10
-4,7;-1,867714E-10
-4,65;-1,83497E-10
-4,6;-1,793804E-10
-4,55;-1,751685E-10
-4,5;-1,715239E-10
-4,45;-1,712093E-10
-4,4;-1,660983E-10
-4,35;-1,603323E-10
-4,3;-1,573452E-10
-4,25;-1,560275E-10
-4,2;-1,532039E-10
-4,15;-1,494923E-10
-4,1;-1,448247E-10
-4,05;-1,397584E-10
-4;-1,385646E-10
-3,95;-1,348146E-10
-3,9;-1,29155E-10
-3,85;-1,272021E-10
-3,8;-1,23358E-10
-3,75;-1,210508E-10
-3,7;-1,154519E-10
-3,65;-1,13775E-10
-3,6;-1,101713E-10
-3,55;-1,054344E-10
-3,5;-1,023977E-10
-3,45;-9,99209E-11
-3,4;-9,581058E-11
-3,35;-9,254365E-11
-3,3;-8,669706E-11
-3,25;-8,401712E-11
-3,2;-8,137679E-11
-3,15;-7,659778E-11
-3,1;-7,237968E-11
-3,05;-6,671519E-11
-3;-6,327725E-11
-2,95;-6,091936E-11
-2,9;-5,927218E-11
-2,85;-5,254638E-11
-2,8;-4,559019E-11
-2,75;-3,93857E-11
-2,7;-3,569024E-11
-2,65;-3,296324E-11
-2,6;-2,719962E-11
-2,55;-2,215802E-11
-2,5;-1,492937E-11
-2,45;-1,092432E-11
-2,4;-7,020808E-12
-2,35;-1,589104E-12
-2,3;5,874915E-12
-2,25;1,232963E-11
-2,2;1,516687E-11
-2,15;2,167606E-11
-2,1;2,875868E-11
-2,05;3,356626E-11
-2;4,063274E-11
-1,95;4,495983E-11
-1,9;5,064051E-11
-1,85;5,806737E-11
-1,8;6,317592E-11
-1,75;7,141024E-11
-1,7;7,575962E-11
-1,65;8,166078E-11
-1,6;8,994842E-11
-1,55;9,839697E-11
-1,5;1,071514E-10
-1,45;1,130724E-10
-1,4;1,193549E-10
-1,35;1,235953E-10
-1,3;1,364527E-10
-1,25;1,468531E-10
-1,2;1,552397E-10
-1,15;1,654183E-10
-1,1;1,765111E-10
-1,05;1,901648E-10
-1;2,025453E-10
-0,95;2,173051E-10
-0,9;2,335892E-10
-0,85;2,525977E-10
-0,8;2,767548E-10
-0,75;3,165059E-10
-0,7;3,797797E-10
-0,65;5,040279E-10
-0,6;7,445837E-10
-0,55;1,250883E-09
-0,5;2,503003E-09
-0,45;3,777545E-09
-0,4;6,291073E-09
-0,35;1,011902E-08
-0,3;1,534802E-08
-0,25;2,548493E-08
-0,2;3,389713E-08
-0,15;4,275358E-08
-0,1;5,164571E-08
-0,05;6,18254E-08
0;7,005758E-08
0,05;7,799022E-08
0,1;8,60754E-08
0,15;9,402466E-08
0,2;1,01673E-07
0,25;1,089793E-07
0,3;1,160355E-07
0,35;1,230234E-07
0,4;1,294693E-07
0,45;1,358028E-07
0,5;1,421201E-07
0,55;1,479643E-07
0,6;1,559812E-07
0,65;1,605429E-07
0,7;1,645838E-07
0,75;1,698633E-07
0,8;1,752181E-07
0,85;1,804955E-07
0,9;1,850944E-07
0,95;1,899284E-07
1;1,948259E-07
1,05;1,994892E-07
1,1;2,03782E-07
1,15;2,076081E-07
1,2;2,115652E-07
1,25;2,155037E-07
1,3;2,187137E-07
1,35;2,221325E-07
1,4;2,248378E-07
1,45;2,280598E-07
1,5;2,350559E-07
1,55;2,376355E-07
1,6;2,374313E-07
1,65;2,394472E-07
1,7;2,419762E-07
1,75;2,442581E-07
1,8;2,465029E-07
1,85;2,487585E-07
1,9;2,509504E-07
1,95;2,534963E-07
2;2,556745E-07
2,05;2,576645E-07
2,1;2,598877E-07
2,15;2,622231E-07
2,2;2,642021E-07
2,25;2,656091E-07
2,3;2,680889E-07
2,35;2,696943E-07
2,4;2,71907E-07
2,45;2,781671E-07
2,5;2,796166E-07
2,55;2,786867E-07
2,6;2,794221E-07
2,65;2,808936E-07
2,7;2,823972E-07
2,75;2,838857E-07
2,8;2,855846E-07
2,85;2,872748E-07
2,9;2,887428E-07
2,95;2,908002E-07
3;2,920402E-07
3,05;2,940408E-07
3,1;2,94118E-07
3,15;2,958662E-07
3,2;2,969055E-07
3,25;2,982139E-07
3,3;3,001247E-07
3,35;3,059558E-07
3,4;3,057421E-07
3,45;3,038078E-07
3,5;3,046188E-07
3,55;3,061448E-07
3,6;3,067905E-07
3,65;3,080545E-07
3,7;3,095437E-07
3,75;3,101135E-07
3,8;3,114079E-07
3,85;3,130901E-07
3,9;3,184995E-07
3,95;3,164965E-07
4;3,162401E-07
4,05;3,172584E-07
4,1;3,182873E-07
4,15;3,196568E-07
4,2;3,208953E-07
4,25;3,2196E-07
4,3;3,230014E-07
4,35;3,247526E-07
4,4;3,262145E-07
4,45;3,276111E-07
4,5;3,28367E-07
4,55;3,293331E-07
4,6;3,306321E-07
4,65;3,316204E-07
4,7;3,332835E-07
4,75;3,335563E-07
4,8;3,347061E-07
4,85;3,358952E-07
4,9;3,436958E-07
4,95;3,417123E-07
5;3,410579E-07
5,05;3,401309E-07
5,1;3,409628E-07
5,15;3,42161E-07
5,2;3,426584E-07
5,25;3,433441E-07
5,3;3,442847E-07
5,35;3,456526E-07
5,4;3,465161E-07
5,45;3,513428E-07
5,5;3,515462E-07
5,55;3,491093E-07
5,6;3,495679E-07
5,65;3,502857E-07
5,7;3,511797E-07
5,75;3,521333E-07
5,8;3,531648E-07
5,85;3,533785E-07
5,9;3,541277E-07
5,95;3,553124E-07
6;3,559031E-07
6,05;3,568513E-07
6,1;3,577752E-07
6,15;3,643213E-07
6,2;3,630727E-07
6,25;3,59825E-07
6,3;3,608437E-07
6,35;3,611705E-07
6,4;3,617183E-07
6,45;3,627017E-07
6,5;3,638031E-07
6,55;3,645677E-07
6,6;3,650724E-07
6,65;3,658996E-07
6,7;3,666861E-07
6,75;3,672346E-07
6,8;3,683771E-07
6,85;3,689536E-07
6,9;3,697979E-07
6,95;3,698934E-07
7;3,760609E-07
7,05;3,761664E-07
7,1;3,756341E-07
7,15;3,729905E-07
7,2;3,732706E-07
7,25;3,739069E-07
7,3;3,748446E-07
7,35;3,756313E-07
7,4;3,76436E-07
7,45;3,766844E-07
7,5;3,780091E-07
7,55;3,785356E-07
7,6;3,793353E-07
7,65;3,798382E-07
7,7;3,823692E-07
7,75;3,859605E-07
7,8;3,830658E-07
7,85;3,822049E-07
7,9;3,824233E-07
7,95;3,83043E-07
8;3,837035E-07
8,05;3,849404E-07
8,1;3,84944E-07
8,15;3,856233E-07
8,2;3,863177E-07
8,25;3,872249E-07
8,3;3,881368E-07
8,35;3,882188E-07
8,4;3,889536E-07
8,45;3,89911E-07
8,5;3,899775E-07
8,55;3,910042E-07
8,6;3,987253E-07
8,65;3,958268E-07
8,7;3,931481E-07
8,75;3,928772E-07
8,8;3,937457E-07
8,85;3,939712E-07
8,9;3,943575E-07
8,95;3,955469E-07
9;3,955958E-07
9,05;3,961466E-07
9,1;3,970295E-07
9,15;4,028513E-07
9,2;4,013271E-07
9,25;3,980452E-07
9,3;3,982437E-07
9,35;3,990343E-07
9,4;3,992836E-07
9,45;3,995552E-07
9,5;3,997818E-07
9,55;4,003853E-07
9,6;4,01545E-07
9,65;4,017366E-07
9,7;4,030754E-07
9,75;4,035021E-07
9,8;4,034612E-07
9,85;4,043944E-07
9,9;4,042156E-07
9,95;4,051688E-07
10;4,050398E-07
