Tensao [V];Corrente [A]
-10;-7,044123E-10
-9,95;-6,717081E-10
-9,9;-6,54057E-10
-9,85;-6,419139E-10
-9,8;-6,338388E-10
-9,75;-6,258574E-10
-9,7;-6,201791E-10
-9,65;-6,167669E-10
-9,6;-6,109173E-10
-9,55;-6,072327E-10
-9,5;-6,02346E-10
-9,45;-5,975728E-10
-9,4;-5,925304E-10
-9,35;-5,882873E-10
-9,3;-5,863581E-10
-9,25;-5,828726E-10
-9,2;-5,785324E-10
-9,15;-5,76737E-10
-9,1;-5,746411E-10
-9,05;-5,698221E-10
-9;-5,693348E-10
-8,95;-5,651982E-10
-8,9;-5,583967E-10
-8,85;-5,572339E-10
-8,8;-5,535667E-10
-8,75;-5,536783E-10
-8,7;-5,513578E-10
-8,65;-5,424998E-10
-8,6;-5,451769E-10
-8,55;-5,340348E-10
-8,5;-5,305016E-10
-8,45;-5,298081E-10
-8,4;-5,245946E-10
-8,35;-5,258082E-10
-8,3;-5,211961E-10
-8,25;-5,180779E-10
-8,2;-5,144816E-10
-8,15;-5,11523E-10
-8,1;-5,09831E-10
-8,05;-5,069306E-10
-8;-5,051289E-10
-7,95;-5,011448E-10
-7,9;-4,974098E-10
-7,85;-4,961555E-10
-7,8;-4,934903E-10
-7,75;-4,932242E-10
-7,7;-4,893316E-10
-7,65;-4,875482E-10
-7,6;-4,864585E-10
-7,55;-4,838368E-10
-7,5;-4,831607E-10
-7,45;-4,762984E-10
-7,4;-4,756681E-10
-7,35;-4,696074E-10
-7,3;-4,646586E-10
-7,25;-4,640061E-10
-7,2;-4,593198E-10
-7,15;-4,588269E-10
-7,1;-4,550351E-10
-7,05;-4,533457E-10
-7;-4,493134E-10
-6,95;-4,422832E-10
-6,9;-4,424591E-10
-6,85;-4,362805E-10
-6,8;-4,404441E-10
-6,75;-4,385681E-10
-6,7;-4,362493E-10
-6,65;-4,342942E-10
-6,6;-4,26466E-10
-6,55;-4,267767E-10
-6,5;-4,188981E-10
-6,45;-4,185501E-10
-6,4;-4,173983E-10
-6,35;-4,084531E-10
-6,3;-4,089498E-10
-6,25;-4,089806E-10
-6,2;-4,046761E-10
-6,15;-4,02182E-10
-6,1;-3,928852E-10
-6,05;-3,929655E-10
-6;-3,93621E-10
-5,95;-3,882594E-10
-5,9;-3,903525E-10
-5,85;-3,895341E-10
-5,8;-3,849729E-10
-5,75;-3,85919E-10
-5,7;-3,756874E-10
-5,65;-3,771224E-10
-5,6;-3,74808E-10
-5,55;-3,695047E-10
-5,5;-3,735446E-10
-5,45;-3,681661E-10
-5,4;-3,643294E-10
-5,35;-3,63786E-10
-5,3;-3,532991E-10
-5,25;-3,573783E-10
-5,2;-3,543395E-10
-5,15;-3,525647E-10
-5,1;-3,530454E-10
-5,05;-3,438043E-10
-5;-3,464185E-10
-4,95;-3,409124E-10
-4,9;-3,355811E-10
-4,85;-3,36479E-10
-4,8;-3,299376E-10
-4,75;-3,32438E-10
-4,7;-3,281098E-10
-4,65;-3,241555E-10
-4,6;-3,26168E-10
-4,55;-3,188995E-10
-4,5;-3,220105E-10
-4,45;-3,179039E-10
-4,4;-3,134333E-10
-4,35;-3,141331E-10
-4,3;-3,050886E-10
-4,25;-3,07111E-10
-4,2;-3,030505E-10
-4,15;-2,994416E-10
-4,1;-2,971308E-10
-4,05;-2,904767E-10
-4;-2,944421E-10
-3,95;-2,888929E-10
-3,9;-2,829906E-10
-3,85;-2,803875E-10
-3,8;-2,724257E-10
-3,75;-2,691266E-10
-3,7;-2,638001E-10
-3,65;-2,626583E-10
-3,6;-2,624588E-10
-3,55;-2,556289E-10
-3,5;-2,547336E-10
-3,45;-2,487708E-10
-3,4;-2,463842E-10
-3,35;-2,470121E-10
-3,3;-2,377103E-10
-3,25;-2,382378E-10
-3,2;-2,31496E-10
-3,15;-2,282389E-10
-3,1;-2,247144E-10
-3,05;-2,150561E-10
-3;-2,157458E-10
-2,95;-2,090026E-10
-2,9;-2,066559E-10
-2,85;-2,054287E-10
-2,8;-1,948065E-10
-2,75;-1,901639E-10
-2,7;-1,815644E-10
-2,65;-1,764597E-10
-2,6;-1,711963E-10
-2,55;-1,614041E-10
-2,5;-1,541817E-10
-2,45;-1,435797E-10
-2,4;-1,392278E-10
-2,35;-1,288598E-10
-2,3;-1,099431E-10
-2,25;-9,915773E-11
-2,2;-8,24044E-11
-2,15;-7,065926E-11
-2,1;-5,522364E-11
-2,05;-2,918224E-11
-2;-1,480672E-11
-1,95;1,224165E-11
-1,9;3,46572E-11
-1,85;6,268903E-11
-1,8;9,698599E-11
-1,75;1,27086E-10
-1,7;1,757414E-10
-1,65;2,269701E-10
-1,6;2,935207E-10
-1,55;3,90522E-10
-1,5;5,050209E-10
-1,45;6,729797E-10
-1,4;8,698791E-10
-1,35;1,139536E-09
-1,3;1,465804E-09
-1,25;1,877388E-09
-1,2;2,564638E-09
-1,15;2,940197E-09
-1,1;3,582632E-09
-1,05;4,350199E-09
-1;5,218551E-09
